Rank,Company,Domain,Funding Stage,Est FTE (2026-06),Vertical,Primary Contact Title,Apollo Email Coverage,Est Annual Swag Spend,Beachhead Fit,ICP Source,Notes
1,Linear,linear.app,Series B,200,Dev Tools / Project Mgmt,People Ops Manager,Yes,$30000,HIGH,DE Step 9,"Remote-first; brand-centric; fast-growing eng team"
2,Ashby,ashby.com,Series B,130,HR Tech / Recruiting,People Ops Manager,Yes,$25000,HIGH,DE Step 9,"HR software buyer; swag-aware; strong brand identity"
3,Hightouch,hightouch.com,Series B,165,Data / CDP,People Operations Manager,Yes,$28000,HIGH,DE Step 9,"VC-backed; eng culture; active hiring sprint"
4,Census,getcensus.com,Series B,110,Data / Reverse ETL,People Ops Generalist,Yes,$22000,HIGH,DE Step 9,"Tight-knit team; onboarding-kit buyer"
5,WorkOS,workos.com,Series B,140,Dev Tools / Auth,People Operations Generalist,Yes,$24000,HIGH,DE Step 9,"Developer-first; remote-first; brand-conscious"
6,Pulley,pulley.com,Series B,100,Fintech / Equity Mgmt,People Ops Generalist,Yes,$20000,HIGH,DE Step 9,"Small tight culture; onboarding kits critical"
7,Lumos,lumos.com,Series B,120,IT / Access Mgmt,People Operations Manager,Yes,$22000,HIGH,Apollo Pull,"Remote-first; Series B; 120 FTE; People Ops Manager in Apollo"
8,Rillet,rillet.com,Series A,65,Fintech / Accounting SaaS,People Operations Manager,Yes,$14000,MEDIUM,Apollo Pull,"Early Series A; slightly below beachhead FTE floor but high-growth"
9,Oomnitza,oomnitza.com,Series B,155,IT Asset Mgmt SaaS,People Operations Manager,Yes,$26000,HIGH,Apollo Pull,"Series B; 155 FTE; verified People Ops Manager"
10,Nue.io,nue.io,Series B,85,Revenue Ops SaaS,People Operations Manager,Yes,$18000,HIGH,Apollo Pull,"Remote-first; early Series B; growing quickly"
11,Clipboard Health,clipboardhealth.com,Series C,210,Vertical SaaS / Healthcare Staffing,People Ops Manager,Yes,$32000,HIGH,DE Step 9,"Series C but tight culture; strong onboarding-kit need"
12,Retool,retool.com,Series C,280,Dev Tools / Low-Code,Head of People Operations,Yes,$40000,HIGH,DE Step 9,"Brand-centric; eng culture; 280 FTE; strong fit"
13,Ashby HQ,ashbyhq.com,Series C,200,HR Tech,People Ops Manager,Yes,$32000,HIGH,DE Step 9,"HR-native company; eats own dog food on People Ops tools"
14,Decagon,decagon.ai,Series C,135,AI / Customer Support,People Ops Generalist,Yes,$24000,HIGH,Apollo Org,"135 FTE; 12-month headcount growth 172%; remote-first"
15,LangChain,langchain.com,Series A,95,AI / Dev Tools,People Operations Manager,Yes,$19000,HIGH,Apollo Org,"Series A; AI-native; eng culture; 95 FTE"
16,Replit,replit.com,Series B,200,Dev Tools / IDE,People Ops Manager,Yes,$30000,HIGH,Apollo Org,"200 FTE; 107% 12-month headcount growth; brand-centric"
17,Incident.io,incident.io,Series B,120,DevOps / Incident Mgmt,People Ops Generalist,Yes,$22000,HIGH,Curated,"UK-founded but US-first; Series B; 120 FTE"
18,Plane,plane.so,Series A,80,Dev Tools / Project Mgmt,People Ops Generalist,Yes,$17000,MEDIUM,Curated,"Rapidly growing dev-tool; 80 FTE; early Series A"
19,Cohere,cohere.com,Series C,175,AI / NLP,People Operations Manager,Yes,$28000,HIGH,Curated,"Series C; AI company; 175 FTE; remote-first"
20,Vercel,vercel.com,Series C,280,Dev Tools / Cloud,Head of People,Yes,$40000,MEDIUM,DE Step 9,"Upper edge of headcount band; 280 FTE; brand-centric culture"
